income,loan_amount,credit_utilization,transaction_frequency,mobile_money_activity,payment_history_score,late_payments,open_loans,business_age_months,debt_ratio,probability_of_default,default
150.0,548.63,0.447,41,0.202,0.611,5,1,46,0.411,1.0,1
1346.91,50.0,0.743,51,0.104,0.457,2,1,124,0.552,0.928,1
1583.26,511.56,0.143,43,0.166,0.833,2,3,6,0.337,0.587,1
1445.67,90.62,0.719,40,0.506,0.563,1,1,117,0.745,0.927,1
897.82,558.23,0.597,46,0.586,0.664,1,2,89,0.2,0.857,0
854.78,429.43,0.253,40,0.675,0.697,1,1,169,0.692,0.889,1
1222.07,121.22,0.441,49,0.136,0.342,0,5,150,0.656,0.907,1
1407.88,102.39,0.823,42,0.578,0.563,1,2,32,0.283,0.816,1
1301.24,381.81,0.535,37,0.242,0.835,2,1,164,0.522,0.813,1
1520.03,1020.26,0.17,39,0.781,0.81,0,4,26,0.598,0.815,1
490.57,805.83,0.73,42,0.159,0.346,2,1,55,0.574,0.999,1
886.11,489.89,0.161,42,0.999,0.356,3,3,114,0.134,0.884,1
529.99,528.83,0.367,38,0.539,0.705,3,2,14,0.863,0.989,1
806.94,550.41,0.144,45,0.862,0.624,0,1,170,0.306,0.77,1
1507.61,266.39,0.407,32,0.892,0.849,1,4,149,0.106,0.374,0
1053.99,226.84,0.821,45,0.531,0.889,2,4,63,0.527,0.845,1
2303.43,612.77,0.75,37,0.137,0.309,2,1,97,0.779,0.986,1
1096.7,249.58,0.869,38,0.401,0.973,0,3,112,0.478,0.718,0
1029.85,760.14,0.536,35,0.872,0.445,0,0,176,0.277,0.932,0
1053.09,61.68,0.64,46,0.902,0.365,3,0,176,0.086,0.837,1
681.1,174.6,0.619,53,0.966,0.755,1,3,60,0.649,0.873,1
971.08,753.92,0.095,34,0.327,0.605,3,1,4,0.192,0.876,1
1563.89,328.29,0.596,39,0.145,0.713,0,2,171,0.606,0.823,1
1056.99,369.35,0.474,40,0.989,0.414,2,3,147,0.592,0.954,1
603.27,561.36,0.374,42,0.756,0.794,1,0,127,0.068,0.785,1
537.46,689.69,0.193,43,0.386,0.36,1,3,106,0.238,0.975,1
774.9,552.44,0.163,35,0.862,0.896,2,4,67,0.722,0.891,1
1036.93,471.82,0.506,50,0.165,0.698,1,1,154,0.832,0.946,0
1596.79,600.17,0.2,32,0.314,0.481,3,2,58,0.565,0.925,1
329.76,502.29,0.724,46,0.327,0.789,0,0,4,0.3,0.982,1
840.09,671.28,0.745,39,0.187,0.346,1,2,176,0.499,0.987,1
1072.16,1114.23,0.309,48,0.982,0.504,1,2,67,0.511,0.973,1
150.0,526.33,0.606,45,0.616,0.323,3,4,169,0.84,1.0,1
583.2,185.04,0.106,41,0.296,0.735,2,3,132,0.608,0.774,1
660.06,659.69,0.867,45,0.964,0.4,3,6,56,0.581,0.996,1
602.01,363.44,0.614,47,0.302,0.571,1,3,113,0.293,0.912,1
1095.94,484.29,0.37,48,0.924,0.993,0,1,77,0.873,0.817,1
919.72,491.67,0.547,48,0.164,0.658,1,1,81,0.805,0.96,1
722.36,254.59,0.365,45,0.432,0.797,5,2,1,0.056,0.768,1
1213.98,307.3,0.123,41,0.309,0.762,1,2,50,0.313,0.492,0
1861.54,50.0,0.286,35,0.224,0.373,1,1,115,0.645,0.872,0
1819.63,374.64,0.059,39,0.528,0.369,1,0,101,0.464,0.802,1
150.0,540.2,0.745,45,0.417,0.333,2,1,149,0.358,1.0,1
1288.54,403.66,0.92,40,0.212,0.674,1,0,149,0.655,0.949,1
910.99,284.99,0.326,48,0.682,0.519,0,2,175,0.068,0.588,0
1077.58,494.28,0.695,37,0.852,0.317,2,2,29,0.194,0.95,1
800.86,164.37,0.521,32,0.414,0.735,2,1,118,0.555,0.838,1
1058.79,135.51,0.069,42,0.648,0.624,2,4,127,0.295,0.545,0
1075.7,531.46,0.927,41,0.13,0.538,3,2,17,0.747,0.99,1
710.52,545.22,0.916,45,0.51,0.834,0,4,56,0.544,0.951,0
551.82,527.76,0.851,49,0.298,0.547,2,2,92,0.221,0.978,1
775.65,324.87,0.333,34,0.202,0.455,1,4,116,0.733,0.95,1
1117.13,673.4,0.171,44,0.917,0.694,4,0,63,0.276,0.85,0
1299.5,119.06,0.333,29,0.641,0.655,1,3,124,0.591,0.754,1
1426.67,325.75,0.713,42,0.337,0.656,1,1,18,0.892,0.956,1
752.9,586.95,0.48,42,0.971,0.863,1,3,135,0.557,0.908,1
1141.92,614.9,0.875,39,0.156,0.783,1,3,158,0.479,0.927,1
1481.25,206.9,0.068,38,0.531,0.82,1,1,52,0.654,0.587,0
1582.8,935.65,0.915,54,0.888,0.401,4,2,41,0.12,0.976,1
970.58,367.37,0.912,38,0.767,0.744,1,3,139,0.502,0.919,1
889.53,421.96,0.756,57,0.279,0.83,2,3,172,0.293,0.847,0
1095.56,644.53,0.507,41,0.977,0.696,0,2,30,0.09,0.71,1
425.15,787.98,0.372,37,0.776,0.753,0,5,170,0.806,0.996,1
903.2,415.38,0.91,32,0.464,0.978,0,1,123,0.429,0.806,1
1372.29,693.32,0.67,37,0.266,0.94,1,1,120,0.368,0.776,0
1320.97,285.96,0.738,52,0.459,0.505,2,1,11,0.34,0.908,1
864.87,817.11,0.777,43,0.43,0.684,0,4,162,0.651,0.98,1
1108.86,409.65,0.824,38,0.252,0.708,2,2,25,0.501,0.931,1
587.67,478.61,0.501,37,0.854,0.311,3,3,146,0.481,0.989,1
1351.75,313.31,0.911,43,0.82,0.609,5,3,37,0.534,0.972,1
961.09,454.0,0.316,35,0.681,0.807,1,2,4,0.212,0.645,1
862.02,217.41,0.762,45,0.377,0.649,2,1,41,0.253,0.843,1
819.14,384.39,0.164,36,0.581,0.459,0,0,174,0.361,0.806,1
968.55,404.28,0.382,44,0.527,0.936,1,1,60,0.653,0.781,1
776.06,136.02,0.45,39,0.783,0.819,2,1,94,0.578,0.773,0
1329.07,257.21,0.549,44,0.21,0.406,0,0,161,0.059,0.701,1
802.36,50.0,0.118,45,0.3,0.416,1,2,94,0.885,0.9,1
1796.48,89.83,0.406,43,0.461,0.809,1,1,30,0.825,0.792,1
1732.61,396.49,0.331,49,0.552,0.468,2,0,61,0.183,0.756,1
554.23,639.87,0.466,38,0.725,0.473,0,2,129,0.343,0.973,1
1034.85,310.75,0.707,47,0.632,0.555,1,1,36,0.719,0.955,1
674.67,392.36,0.186,38,0.829,0.869,2,3,48,0.506,0.79,1
836.68,690.42,0.664,35,0.788,0.441,5,3,127,0.285,0.987,1
2001.21,608.31,0.371,33,0.415,0.639,0,1,35,0.586,0.82,1
846.21,604.69,0.326,44,0.116,0.882,1,1,26,0.271,0.729,1
1180.11,429.8,0.412,42,0.938,0.372,1,1,142,0.85,0.972,1
1270.66,277.47,0.82,40,0.487,0.582,2,3,120,0.178,0.846,1
499.69,498.94,0.111,35,0.179,0.819,2,3,128,0.576,0.925,1
572.45,720.63,0.567,41,0.897,0.758,1,3,169,0.775,0.99,1
396.99,851.86,0.711,51,0.499,0.322,1,0,122,0.644,1.0,1
557.01,1001.5,0.612,46,0.135,0.706,2,0,169,0.887,0.999,1
150.0,782.42,0.532,38,0.812,0.672,2,2,106,0.098,1.0,1
1272.29,410.92,0.61,46,0.757,0.49,0,3,7,0.358,0.875,1
2027.1,99.39,0.369,43,0.33,0.608,3,1,59,0.437,0.783,1
1073.91,550.5,0.432,25,0.25,0.977,2,3,130,0.506,0.786,1
291.87,674.15,0.399,48,0.444,0.731,2,1,86,0.298,0.997,1
678.61,50.0,0.572,39,0.572,0.595,1,2,72,0.181,0.644,1
770.56,50.0,0.846,33,0.713,0.488,2,3,35,0.623,0.951,0
491.21,285.79,0.475,46,0.949,0.401,0,1,163,0.723,0.971,1
1430.09,207.78,0.415,46,0.146,0.865,1,0,13,0.539,0.654,1
1405.13,50.0,0.66,44,0.302,0.953,1,2,98,0.583,0.658,1
422.27,495.01,0.228,39,0.819,0.429,1,3,150,0.086,0.943,1
1362.54,710.3,0.853,37,0.514,0.749,0,4,37,0.695,0.95,1
1763.41,352.9,0.731,40,0.754,0.328,1,3,83,0.075,0.855,0
1951.28,50.0,0.365,25,0.41,0.471,1,1,133,0.676,0.865,1
2432.61,451.57,0.238,41,0.482,0.643,1,3,175,0.41,0.662,1
549.0,122.51,0.626,39,0.439,0.49,3,4,169,0.246,0.886,1
2412.11,147.84,0.913,43,0.487,0.563,1,2,115,0.24,0.819,1
822.9,639.93,0.837,38,0.728,0.595,0,0,29,0.274,0.945,1
703.77,700.05,0.119,49,0.973,0.725,6,1,142,0.474,0.971,1
1163.54,327.68,0.3,38,0.183,0.643,1,4,30,0.151,0.581,1
708.97,582.78,0.669,40,0.857,0.731,2,2,80,0.492,0.963,1
1199.52,131.44,0.538,37,0.25,0.958,1,1,54,0.593,0.648,0
339.96,532.27,0.225,40,0.899,0.563,3,4,135,0.224,0.985,1
880.62,304.03,0.829,47,0.173,0.538,3,1,7,0.252,0.938,1
1642.79,68.61,0.919,46,0.876,0.563,3,4,102,0.359,0.908,1
971.47,173.22,0.399,43,0.19,0.899,0,2,128,0.279,0.39,0
1070.8,502.51,0.584,45,0.866,0.862,3,3,78,0.174,0.764,0
1237.63,50.0,0.369,48,0.117,0.407,1,2,115,0.872,0.933,1
1585.33,329.58,0.236,43,0.271,0.631,1,2,100,0.494,0.731,0
172.39,667.1,0.858,41,0.274,0.638,1,2,145,0.263,1.0,1
1292.26,276.79,0.429,38,0.147,0.43,4,1,20,0.836,0.977,1
865.93,50.0,0.075,41,0.472,0.9,0,1,122,0.766,0.494,1
1083.32,330.75,0.341,29,0.687,0.867,0,2,2,0.786,0.823,0
1529.98,569.41,0.407,28,0.387,0.72,2,0,29,0.449,0.831,1
402.91,75.58,0.203,46,0.136,0.547,4,0,117,0.487,0.864,1
493.68,696.77,0.712,25,0.351,0.745,1,1,83,0.242,0.978,1
150.0,590.83,0.209,46,0.773,0.396,0,2,74,0.214,1.0,1
725.42,487.53,0.83,39,0.874,0.444,1,0,150,0.115,0.945,1
1665.22,544.33,0.597,34,0.463,0.361,1,1,3,0.526,0.959,1
939.71,431.79,0.763,46,0.564,0.957,2,0,8,0.485,0.871,1
329.94,483.57,0.663,42,0.905,0.795,1,1,155,0.478,0.987,1
757.16,417.86,0.737,32,0.995,0.337,2,3,152,0.519,0.983,1
256.07,620.73,0.425,33,0.332,0.43,0,1,57,0.446,0.999,1
437.41,723.22,0.584,41,0.509,0.765,3,1,99,0.666,0.997,1
1194.41,194.79,0.393,45,0.656,0.956,2,6,128,0.3,0.465,0
413.06,224.54,0.698,33,0.452,0.302,3,2,41,0.533,0.988,1
1556.32,302.18,0.329,38,0.985,0.861,2,1,138,0.829,0.831,1
964.44,247.81,0.351,44,0.626,0.598,2,3,55,0.464,0.834,1
1042.8,683.45,0.795,47,0.528,0.859,1,1,19,0.764,0.963,1
860.81,50.0,0.212,50,0.112,0.41,1,0,172,0.55,0.81,1
1386.42,535.68,0.409,29,0.124,0.446,1,1,80,0.569,0.93,1
1391.58,746.68,0.566,31,0.191,0.642,1,1,35,0.814,0.966,1
1167.53,255.32,0.17,41,0.409,0.816,1,2,24,0.536,0.609,1
1282.39,768.02,0.602,40,0.469,0.407,2,1,16,0.638,0.983,1
893.96,689.33,0.386,35,0.562,0.433,2,5,138,0.755,0.986,1
1271.1,312.69,0.243,47,0.514,0.428,0,1,70,0.131,0.623,0
831.06,604.7,0.101,40,0.544,0.853,1,1,70,0.219,0.623,0
1001.12,193.35,0.557,36,0.306,0.832,3,1,78,0.374,0.753,1
862.68,124.57,0.924,41,0.265,0.581,2,2,110,0.051,0.8,1
771.39,284.05,0.746,36,0.857,0.458,3,3,25,0.518,0.972,1
655.44,737.58,0.407,38,0.845,0.617,1,1,139,0.371,0.963,1
1233.85,285.42,0.221,41,0.536,0.497,2,1,118,0.33,0.775,1
1655.3,410.42,0.726,33,0.893,0.524,1,0,85,0.097,0.788,0
1585.55,148.91,0.827,31,0.598,0.419,3,1,74,0.113,0.882,1
371.72,616.66,0.361,27,0.792,0.999,1,2,103,0.837,0.989,1
1644.6,607.86,0.106,49,0.121,0.588,0,1,122,0.267,0.596,1
840.92,223.93,0.607,47,0.594,0.374,4,0,33,0.402,0.96,1
1300.37,50.0,0.133,47,0.547,0.469,0,1,21,0.119,0.412,1
546.89,309.57,0.206,38,0.214,0.348,1,2,82,0.092,0.83,1
1070.99,510.63,0.054,45,0.462,0.708,1,2,146,0.13,0.503,0
1156.86,396.7,0.285,37,0.293,0.544,1,0,178,0.773,0.923,1
257.7,420.12,0.736,42,0.682,0.545,1,7,12,0.678,0.998,1
1304.13,487.38,0.789,43,0.438,0.549,2,2,127,0.492,0.953,1
1672.97,272.26,0.903,47,0.907,0.674,0,1,147,0.261,0.768,0
912.68,86.17,0.791,43,0.955,0.51,1,1,62,0.561,0.918,1
1680.08,584.75,0.24,41,0.536,0.515,0,2,144,0.749,0.899,1
905.15,178.78,0.521,39,0.6,0.776,3,2,139,0.826,0.924,1
1424.79,99.6,0.578,31,0.683,0.905,1,1,80,0.46,0.596,1
150.0,525.02,0.165,35,0.782,0.78,4,1,12,0.621,1.0,1
2209.39,123.55,0.442,40,0.885,0.622,3,6,158,0.863,0.93,1
1747.73,195.45,0.325,41,0.292,0.914,0,1,98,0.23,0.282,1
857.69,795.14,0.728,30,0.574,0.65,1,0,50,0.332,0.961,1
150.0,797.14,0.122,37,0.278,0.708,2,3,72,0.178,1.0,1
1144.01,697.82,0.298,29,0.632,0.424,0,0,143,0.257,0.865,0
278.04,589.84,0.143,32,0.265,0.913,1,0,142,0.428,0.987,1
1222.43,689.1,0.467,58,0.431,0.678,3,0,138,0.654,0.956,1
1205.78,890.65,0.22,43,0.568,0.92,1,3,162,0.35,0.713,1
529.3,673.53,0.144,37,0.432,0.875,2,2,139,0.635,0.962,1
1560.48,462.82,0.643,43,0.637,0.862,2,2,146,0.757,0.906,1
1402.79,618.24,0.811,45,0.727,0.467,0,5,107,0.578,0.962,1
1487.91,283.76,0.231,39,0.736,0.674,2,4,171,0.14,0.515,1
1004.43,436.58,0.16,44,0.241,0.939,0,2,112,0.219,0.353,0
292.24,447.7,0.644,43,0.282,0.973,2,1,101,0.332,0.976,1
1488.94,365.48,0.089,34,0.288,0.927,2,3,137,0.749,0.691,1
864.81,321.29,0.265,49,0.898,0.983,4,2,102,0.489,0.736,1
305.11,721.97,0.324,41,0.552,0.949,3,4,145,0.551,0.997,1
1676.02,161.76,0.878,50,0.783,0.807,3,3,54,0.051,0.668,0
2049.7,436.94,0.366,40,0.865,0.352,2,3,142,0.54,0.926,1
979.38,77.67,0.529,44,0.954,0.955,2,4,64,0.741,0.764,0
2079.56,50.0,0.746,42,0.151,0.677,2,1,157,0.572,0.869,0
1045.66,698.8,0.811,36,0.376,0.663,3,5,89,0.885,0.991,1
809.77,721.47,0.136,31,0.423,0.949,1,0,57,0.478,0.801,1
684.77,278.65,0.729,33,0.351,0.654,2,0,146,0.462,0.927,1
1818.54,412.66,0.728,36,0.49,0.795,1,4,74,0.659,0.878,1
609.93,327.68,0.84,47,0.993,0.382,3,0,118,0.779,0.994,1
1367.63,327.94,0.739,44,0.237,0.356,0,2,81,0.21,0.873,1
720.42,277.99,0.166,37,0.634,0.899,1,0,125,0.718,0.742,1
769.85,515.02,0.321,34,0.263,0.59,2,0,77,0.625,0.954,1
1515.12,304.71,0.431,49,0.567,0.988,2,1,120,0.719,0.75,0
809.98,503.75,0.152,38,0.769,0.672,4,2,166,0.369,0.887,1
797.6,816.93,0.159,39,0.884,0.37,4,4,127,0.587,0.99,1
1566.4,497.39,0.76,49,0.194,0.549,1,4,117,0.809,0.969,1
1798.7,431.2,0.203,36,0.857,0.469,2,3,3,0.849,0.951,1
1322.34,257.13,0.865,43,0.465,0.628,2,3,166,0.777,0.963,1
672.62,396.4,0.241,41,0.402,0.612,1,2,130,0.38,0.841,1
744.7,50.0,0.492,40,0.548,0.4,3,3,18,0.088,0.784,1
1039.96,784.92,0.24,40,0.939,0.496,2,1,138,0.495,0.952,1
1160.47,160.49,0.897,41,0.429,0.951,1,0,145,0.402,0.705,1
506.07,50.0,0.538,38,0.875,0.539,3,0,84,0.419,0.871,1
1361.52,373.86,0.554,41,0.573,0.701,2,3,127,0.746,0.925,1
1042.76,488.56,0.834,41,0.765,0.495,1,2,65,0.513,0.965,1
150.0,731.13,0.185,40,0.77,0.843,1,0,28,0.85,1.0,1
535.54,461.2,0.128,36,0.385,0.59,0,2,49,0.679,0.941,1
747.94,631.37,0.927,49,0.304,0.875,2,0,105,0.821,0.986,1
963.57,632.46,0.877,36,0.274,0.585,1,2,3,0.836,0.991,1
1944.64,607.99,0.277,40,0.551,0.89,2,2,62,0.2,0.483,0
1119.09,116.59,0.583,44,0.642,0.448,1,1,129,0.342,0.832,1
579.61,527.73,0.674,38,0.716,0.364,0,0,105,0.051,0.95,1
1110.32,53.74,0.884,40,0.388,0.677,3,4,7,0.229,0.832,1
823.96,898.6,0.239,50,0.401,0.967,1,3,177,0.06,0.696,1
1162.38,574.41,0.759,30,0.284,0.827,3,1,82,0.097,0.816,0
1290.28,243.8,0.211,34,0.222,0.992,1,2,118,0.877,0.696,1
1604.62,493.96,0.553,39,0.75,0.945,4,2,28,0.33,0.76,0
987.86,147.36,0.23,37,0.477,0.337,1,5,166,0.454,0.843,1
1819.48,50.0,0.318,36,0.98,0.523,2,1,115,0.325,0.699,0
1454.01,619.2,0.529,47,0.557,0.321,0,2,91,0.73,0.971,1
646.28,154.79,0.338,40,0.78,0.844,3,1,171,0.105,0.497,0
2104.93,354.75,0.947,45,0.498,0.482,2,1,174,0.055,0.86,0
1163.5,451.39,0.63,35,0.256,0.918,4,1,45,0.685,0.929,1
582.44,354.39,0.803,35,0.359,0.954,0,1,176,0.755,0.928,0
1826.46,142.99,0.227,44,0.403,0.559,2,5,41,0.117,0.525,0
2038.89,415.18,0.167,33,0.201,0.754,1,0,2,0.211,0.483,0
983.49,437.01,0.302,34,0.12,0.361,1,0,31,0.133,0.829,1
748.17,617.83,0.783,48,0.42,0.965,3,1,129,0.307,0.921,1
913.81,1011.22,0.229,47,0.778,0.713,1,4,128,0.9,0.982,1
1357.37,50.0,0.271,48,0.352,0.476,2,3,157,0.308,0.705,0
1638.93,200.37,0.719,40,0.819,0.51,3,1,129,0.179,0.851,1
1285.24,455.74,0.771,38,0.794,0.311,2,2,129,0.129,0.935,1
1050.86,652.69,0.543,42,0.598,0.529,2,1,71,0.224,0.918,1
1749.01,486.58,0.18,58,0.637,0.695,1,1,11,0.806,0.856,1
843.58,680.75,0.801,39,0.104,0.558,4,2,18,0.273,0.981,1
1515.46,50.0,0.574,38,0.376,0.79,2,1,157,0.719,0.835,1
855.97,320.58,0.889,33,0.809,0.571,2,3,27,0.162,0.903,1
1215.51,765.4,0.236,54,0.299,0.977,2,1,153,0.266,0.622,1
943.22,184.94,0.182,40,0.753,0.835,1,1,107,0.847,0.769,0
972.07,50.0,0.253,48,0.834,0.405,1,1,24,0.634,0.858,1
811.31,195.81,0.221,40,0.874,0.738,2,2,29,0.861,0.881,1
1672.43,509.33,0.775,44,0.558,0.398,1,1,152,0.265,0.918,1
633.54,382.3,0.136,49,0.276,0.497,4,2,80,0.384,0.93,1
629.88,78.78,0.781,36,0.959,0.412,1,3,83,0.485,0.929,1
2060.5,219.62,0.631,58,0.547,0.923,3,2,174,0.761,0.862,1
1488.92,67.35,0.875,33,0.736,0.86,1,2,87,0.315,0.66,1
150.0,96.75,0.47,40,0.42,0.565,2,0,86,0.113,0.87,1
717.37,180.25,0.293,44,0.211,0.414,2,1,23,0.239,0.812,1
150.0,426.37,0.862,40,0.942,0.488,1,2,66,0.614,1.0,1
524.65,50.0,0.056,31,0.361,0.868,0,2,75,0.413,0.301,0
150.0,741.43,0.876,40,0.841,0.643,2,1,175,0.565,1.0,1
931.51,374.12,0.612,43,0.664,0.901,2,1,19,0.197,0.689,1
429.03,123.34,0.195,47,0.606,0.763,1,3,48,0.568,0.711,0
1029.95,156.62,0.314,49,0.92,0.967,4,3,152,0.084,0.381,0
187.44,241.32,0.581,35,0.462,0.733,1,2,4,0.098,0.953,1
1041.46,401.56,0.137,30,0.442,0.827,1,0,147,0.809,0.816,1
792.54,437.84,0.102,45,0.659,0.395,2,1,72,0.505,0.93,1
1750.98,351.54,0.517,34,0.387,0.811,1,0,82,0.351,0.64,0
1705.68,211.15,0.08,36,0.594,0.933,1,1,90,0.857,0.632,1
1392.67,397.26,0.744,31,0.271,0.912,1,1,90,0.555,0.815,1
836.69,50.0,0.677,46,0.121,0.637,1,3,21,0.434,0.797,0
1992.69,96.16,0.885,37,0.637,0.505,2,4,166,0.488,0.927,1
223.48,230.95,0.793,27,0.19,0.689,1,1,115,0.546,0.983,1
298.22,64.44,0.107,44,0.572,0.422,2,0,8,0.293,0.766,1
958.11,345.32,0.232,39,0.533,0.689,3,1,55,0.607,0.879,1
2127.02,65.48,0.23,32,0.181,0.459,2,3,72,0.118,0.578,1
898.83,828.26,0.448,46,0.47,0.782,1,2,26,0.894,0.978,1
908.38,50.0,0.542,38,0.329,0.773,3,2,70,0.126,0.562,0
279.04,777.81,0.467,45,0.886,0.778,1,1,30,0.845,1.0,1
1472.96,50.0,0.254,42,0.774,0.916,1,4,28,0.831,0.662,1
1476.59,901.28,0.874,33,0.217,0.968,0,0,163,0.432,0.852,1
1394.54,546.0,0.083,41,0.238,0.93,0,5,154,0.688,0.618,1
685.39,597.9,0.077,37,0.161,0.656,0,3,78,0.538,0.89,1
646.65,58.67,0.733,41,0.128,0.388,1,0,12,0.603,0.945,1
353.44,319.33,0.306,39,0.756,0.353,2,5,56,0.674,0.988,1
1041.94,335.64,0.719,35,0.155,0.439,1,3,151,0.729,0.971,1
459.8,374.81,0.319,42,0.115,0.719,0,2,93,0.311,0.831,1
411.29,718.15,0.559,44,0.498,0.71,4,1,33,0.478,0.997,1
788.15,572.83,0.829,36,0.843,0.925,2,0,140,0.44,0.93,1
755.42,358.57,0.219,42,0.644,0.88,2,1,169,0.267,0.602,0
731.01,649.78,0.696,51,0.489,0.8,0,3,158,0.729,0.969,1
1233.22,695.79,0.78,49,0.327,0.51,1,0,102,0.148,0.914,1
1039.52,258.01,0.926,28,0.595,0.47,2,5,48,0.859,0.986,1
855.92,250.69,0.222,47,0.998,0.471,0,3,9,0.598,0.859,0
1091.51,940.42,0.501,42,0.827,0.609,2,2,98,0.148,0.92,1
504.24,340.04,0.315,43,0.801,0.402,2,0,86,0.251,0.929,1
1052.64,239.26,0.442,44,0.585,0.705,2,1,94,0.532,0.828,1
1075.3,361.37,0.11,43,0.92,0.944,2,1,18,0.866,0.797,1
248.48,668.62,0.854,33,0.284,0.745,1,3,45,0.145,0.999,1
1497.85,579.6,0.339,40,0.454,0.625,0,2,11,0.258,0.694,1
559.28,368.6,0.94,39,0.901,0.914,1,2,88,0.319,0.891,1
1045.15,552.9,0.446,39,0.215,0.742,1,0,156,0.829,0.941,1
1582.21,462.57,0.369,37,0.514,0.925,1,2,12,0.152,0.408,1
1462.84,364.45,0.504,41,0.195,0.519,0,3,112,0.563,0.875,1
1017.17,324.99,0.176,51,0.217,0.506,1,2,113,0.74,0.903,1
818.75,437.01,0.812,46,0.469,0.349,1,1,2,0.792,0.993,1
1473.76,295.96,0.777,49,0.268,0.328,1,3,161,0.556,0.961,1
1337.35,417.66,0.791,38,0.939,0.962,2,0,133,0.867,0.93,1
690.82,387.62,0.423,30,0.732,0.624,0,3,138,0.558,0.899,1
602.55,50.0,0.373,46,0.909,0.767,4,1,108,0.831,0.9,1
150.0,267.68,0.913,45,0.179,0.999,0,3,69,0.132,0.976,1
1077.02,335.4,0.561,47,0.781,0.454,3,2,68,0.832,0.98,1
958.65,864.93,0.85,36,0.964,0.952,1,3,17,0.264,0.906,1
1568.1,359.99,0.284,43,0.664,0.775,1,2,127,0.517,0.679,1
1179.53,468.31,0.54,45,0.174,0.503,2,3,122,0.838,0.975,1
1667.11,937.83,0.657,41,0.365,0.481,0,2,126,0.579,0.96,1
651.32,50.0,0.138,37,0.577,0.712,2,3,175,0.179,0.399,0
1569.08,50.0,0.845,31,0.201,0.999,1,3,73,0.558,0.692,1
735.54,205.42,0.448,39,0.994,0.51,2,1,147,0.551,0.915,1
1388.8,316.73,0.767,43,0.917,0.748,3,1,166,0.482,0.898,1
270.62,341.97,0.769,40,0.816,0.867,0,1,80,0.672,0.984,1
1117.57,272.28,0.663,53,0.442,0.879,1,1,134,0.19,0.572,1
150.0,91.58,0.392,44,0.854,0.401,3,0,124,0.572,0.976,1
866.43,643.5,0.555,39,0.617,0.858,4,1,143,0.122,0.867,1
1220.18,286.49,0.776,40,0.313,0.878,2,1,90,0.158,0.658,0
739.52,696.08,0.142,44,0.524,0.767,0,1,162,0.654,0.912,1
474.78,145.74,0.786,45,0.885,0.815,1,3,97,0.321,0.78,1
1423.06,889.92,0.308,43,0.611,0.488,0,2,25,0.492,0.916,1
948.27,50.0,0.39,26,0.468,0.594,1,3,146,0.549,0.771,1
755.21,396.38,0.305,30,0.895,0.991,1,3,139,0.478,0.67,1
1020.95,150.41,0.934,35,0.375,0.373,1,1,107,0.308,0.928,1
2318.33,408.89,0.692,39,0.457,0.973,2,0,98,0.282,0.596,0
1576.75,155.12,0.948,49,0.504,0.917,3,2,144,0.608,0.885,1
1581.29,50.0,0.137,34,0.354,0.809,0,4,167,0.738,0.563,0
1217.77,204.83,0.922,35,0.467,0.798,2,1,163,0.35,0.829,1
1083.24,799.03,0.254,48,0.383,0.714,2,2,170,0.79,0.957,1
150.0,149.99,0.067,54,0.993,0.857,2,1,132,0.423,0.867,1
660.51,527.11,0.245,37,0.892,0.51,2,2,22,0.733,0.977,1
759.71,401.42,0.216,36,0.217,0.742,0,0,16,0.433,0.732,1
150.0,286.33,0.723,33,0.489,0.989,3,3,134,0.248,0.991,1
421.29,910.84,0.655,48,0.719,0.937,2,1,109,0.64,0.998,1
150.0,321.37,0.37,41,0.868,0.39,0,2,80,0.848,0.999,1
980.84,442.36,0.217,50,0.583,0.93,1,5,171,0.197,0.438,0
1409.38,421.42,0.374,31,0.568,0.817,2,3,156,0.814,0.885,1
1553.39,793.75,0.919,36,0.399,0.865,2,3,143,0.459,0.923,1
1207.39,50.0,0.322,38,0.165,0.772,2,4,117,0.295,0.501,0
518.3,961.04,0.669,44,0.241,0.783,0,2,3,0.885,0.998,1
150.0,779.86,0.352,36,0.93,0.717,4,1,117,0.769,1.0,1
150.0,499.42,0.775,45,0.966,0.727,1,2,148,0.613,1.0,1
365.51,554.54,0.568,40,0.569,0.689,1,3,173,0.452,0.989,1
555.57,342.98,0.649,44,0.816,0.802,2,0,34,0.091,0.801,0
920.13,437.52,0.084,29,0.506,0.731,3,2,144,0.639,0.871,0
492.92,505.0,0.712,30,0.42,0.889,5,3,41,0.314,0.972,1
1169.49,172.85,0.292,31,0.654,0.517,1,1,176,0.674,0.863,1
883.86,779.85,0.629,37,0.89,0.343,1,4,167,0.759,0.994,1
1005.27,456.03,0.427,32,0.829,0.814,1,2,34,0.378,0.747,0
1570.13,435.4,0.339,34,0.328,0.397,1,3,137,0.104,0.737,0
409.88,183.33,0.366,37,0.36,0.906,0,1,87,0.244,0.505,0
1209.35,692.44,0.155,44,0.509,0.353,2,1,105,0.583,0.957,1
993.01,388.51,0.17,38,0.664,0.728,3,3,85,0.148,0.626,1
833.26,268.71,0.156,37,0.321,0.711,2,1,14,0.354,0.68,1
1442.63,128.49,0.657,42,0.47,0.918,0,2,80,0.345,0.496,0
1439.51,359.62,0.302,39,0.819,0.375,3,3,82,0.384,0.903,1
526.75,107.57,0.914,35,0.106,0.474,2,4,153,0.583,0.966,1
